INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
32762,2762,4,7,0,0.4781762498950186,1.0,0.994949236620532,1,1,1697
32313,2313,8,16,3,0.4281415381218109,0.7272727272727273,0.9007539088504168,1,2,1715
20250,0250,15,19,7,0.4708083339914934,0.6818181818181818,0.8362364016250501,1,3,1704
30710,710,17,29,8,0.4821035635542585,0.68,0.8278558619943335,1,4,1700
32656,2656,48,54,26,0.5345790287409039,0.6486486486486487,0.7476776110931875,1,5,1669
32451,2451,11,19,6,0.4099252381720745,0.6470588235294118,0.8270141452102482,1,6,1716
30749,749,33,47,18,0.509143920536497,0.6470588235294118,0.7637563889572885,1,7,1689
32282,2282,41,54,23,0.5176905435113226,0.640625,0.7472064848379922,1,8,1688
30339,339,30,28,17,0.4945682554366304,0.6382978723404256,0.7604775965434142,1,9,1700
32508,2508,47,56,27,0.5208984128527686,0.6351351351351351,0.7356980883434919,1,10,1688
30501,501,52,62,30,0.5257092659604609,0.6341463414634146,0.7302873525223261,1,11,1685
32801,2801,19,22,11,0.4536956019506384,0.6333333333333333,0.7815004015014309,1,12,1715
32442,2442,43,55,25,0.5130865818220895,0.6323529411764706,0.7370951070584548,1,13,1690
31271,1271,24,35,14,0.4717951136254119,0.631578947368421,0.76636067493418,1,14,1708
31670,1670,40,56,24,0.5019993897009798,0.625,0.7334640617045606,1,15,1699
32666,2666,5,12,3,0.2992950562085404,0.625,0.8630043377348335,1,16,1725
30342,342,5,4,3,0.2992950562085404,0.625,0.8630043377348335,1,17,1725
32750,2750,35,41,21,0.4934470331353674,0.625,0.7400453190018772,1,18,1701
32418,2418,43,58,26,0.5047658626433131,0.6231884057971014,0.7282799549301575,1,19,1699
30318,318,21,32,13,0.4492311641873227,0.6176470588235294,0.7612918895466585,1,20,1715
31521,1521,53,65,33,0.5102992707243812,0.6162790697674418,0.7120793185413851,1,21,1696
30946,946,53,67,33,0.5102992707243812,0.6162790697674418,0.7120793185413851,1,22,1696
31357,1357,56,62,35,0.512383540968336,0.6153846153846154,0.7088218291288031,1,23,1696
31618,1618,24,38,15,0.458014752232611,0.6153846153846154,0.7513500134122563,1,24,1715
31480,1480,51,63,32,0.5065561516932381,0.6144578313253012,0.7119897654518457,1,25,1699
31712,1712,51,58,32,0.5065561516932381,0.6144578313253012,0.7119897654518457,1,26,1699
31499,1499,54,65,34,0.5088700411705456,0.6136363636363636,0.7086731308652467,1,27,1699
30076,76,54,65,34,0.5088700411705456,0.6136363636363636,0.7086731308652467,1,28,1699
31323,1323,54,65,34,0.5088700411705456,0.6136363636363636,0.7086731308652467,1,29,1699
30015,15,54,65,34,0.5088700411705456,0.6136363636363636,0.7086731308652467,1,30,1699
31119,1119,54,65,34,0.5088700411705456,0.6136363636363636,0.7086731308652467,1,31,1699
31301,1301,49,62,31,0.5025749601550844,0.6125,0.7118641722257991,1,32,1699
31040,1040,49,58,31,0.5025749601550844,0.6125,0.7118641722257991,1,33,1699
30391,391,52,68,33,0.5051451524768648,0.611764705882353,0.7084886377245071,1,34,1699
31144,1144,52,67,33,0.5051451524768648,0.611764705882353,0.7084886377245071,1,35,1699
30800,800,52,68,33,0.5051451524768648,0.611764705882353,0.7084886377245071,1,36,1699
30063,63,52,67,33,0.5051451524768648,0.611764705882353,0.7084886377245071,1,37,1699
30199,199,53,66,34,0.5038141275973153,0.6091954022988506,0.7051233923591542,1,38,1699
30746,746,53,66,34,0.5038141275973153,0.6091954022988506,0.7051233923591542,1,39,1699
30446,446,53,64,34,0.5038141275973153,0.6091954022988506,0.7051233923591542,1,40,1699
30577,577,53,66,34,0.5038141275973153,0.6091954022988506,0.7051233923591542,1,41,1699
32562,2562,53,66,34,0.5038141275973153,0.6091954022988506,0.7051233923591542,1,42,1699
31517,1517,53,64,34,0.5038141275973153,0.6091954022988506,0.7051233923591542,1,43,1699
31163,1163,53,61,34,0.5038141275973153,0.6091954022988506,0.7051233923591542,1,44,1699
30115,115,53,61,34,0.5038141275973153,0.6091954022988506,0.7051233923591542,1,45,1699
32201,2201,48,52,31,0.4969755425018992,0.6075949367088608,0.7079906437446895,1,46,1701
31350,1350,51,63,33,0.4998837430589913,0.6071428571428571,0.7048064393313185,1,47,1701
30520,520,51,63,33,0.4998837430589913,0.6071428571428571,0.7048064393313185,1,48,1701
32392,2392,17,14,11,0.4226046406644013,0.6071428571428571,0.7647597902471015,1,49,1717
31058,1058,34,49,22,0.4757484152435112,0.6071428571428571,0.7243872757320272,1,50,1709
30518,518,54,64,35,0.5025571059572653,0.6067415730337079,0.7018860844296824,1,51,1701
31282,1282,54,64,35,0.5025571059572653,0.6067415730337079,0.7018860844296824,1,52,1701
31535,1535,52,64,34,0.4986552926827846,0.6046511627906976,0.7014852758282353,1,53,1701
30040,40,52,67,34,0.4986552926827846,0.6046511627906976,0.7014852758282353,1,54,1701
32539,2539,52,67,34,0.4986552926827846,0.6046511627906976,0.7014852758282353,1,55,1701
30032,32,38,53,25,0.4793154290008849,0.6031746031746031,0.7148529871891394,1,56,1708
31092,1092,50,62,33,0.4945117724317887,0.6024096385542169,0.7010291395193297,1,57,1703
30929,929,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,58,1703
31443,1443,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,59,1703
30105,105,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,60,1703
30415,415,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,61,1703
31476,1476,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,62,1703
30963,963,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,63,1703
30413,413,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,64,1703
31688,1688,53,64,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,65,1703
31703,1703,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,66,1703
30324,324,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,67,1703
32737,2737,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,68,1703
30386,386,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,69,1703
30066,66,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,70,1703
30361,361,53,62,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,71,1703
31789,1789,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,72,1703
30895,895,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,73,1703
31439,1439,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,74,1703
30754,754,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,75,1703
31033,1033,53,63,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,76,1703
32118,2118,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,77,1703
30237,237,53,64,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,78,1703
30010,10,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,79,1703
31095,1095,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,80,1703
30583,583,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,81,1703
31297,1297,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,82,1703
31132,1132,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,83,1703
31320,1320,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,84,1703
32660,2660,53,64,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,85,1703
31025,1025,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,86,1703
32370,2370,53,65,35,0.4974970576327822,0.6022727272727273,0.6982916533306149,1,87,1703
